iteration, phys_vars, stats, best_params, tn, fp, fn, tp, BA, AUC, custom,JAC ,Centropy, coeffs, exp_coeffs 
0/46,Phys: flood; tide; , Stats: , C: 10.0,  14587, 8753, 12, 8, 0.5124892887746358, 0.5124892887746358, 0.3714241337078144, 0.0009118887495725522, 13.52408484399023, [0.22692609], [125.4737124] 
1/46,Phys: flood; nao; , Stats: , C: 1,  14858, 8482, 10, 10, 0.5682947729220222, 0.5682947729220222, 0.42657661221631576, 0.0011761938367442955, 13.102855504297208, [-0.5822703], [55.86286689] 
2/46,Phys: flood; P; , Stats: mean; , C: 0.1,  22646, 694, 6, 14, 0.8351328191945158, 0.8351328191945158, 0.8192358415922868, 0.0196078431372549, 1.0800752299821068, [-0.75276388], [47.10627894] 
3/46,Phys: flood; P; , Stats: std; , C: 10.0,  15822, 7518, 10, 10, 0.5889460154241646, 0.5889460154241645, 0.4714228839277798, 0.0013266118333775537, 11.615437616150425, [1.2548892], [350.74497407] 
4/46,Phys: flood; P; , Stats: min; , C: 0.1,  22646, 694, 6, 14, 0.8351328191945158, 0.8351328191945158, 0.8192358415922868, 0.0196078431372549, 1.0800752299821068, [-0.73148424], [48.11942511] 
5/46,Phys: flood; P; , Stats: max; , C: 0.1,  22637, 703, 7, 13, 0.8099400171379606, 0.8099400171379606, 0.7909112147208384, 0.017980636237897647, 1.0955048761247081, [-0.65998323], [51.6860002] 
6/46,Phys: flood; T; , Stats: mean; , C: 10.0,  15322, 8018, 5, 15, 0.7032347900599829, 0.7032347900599829, 0.5485385758745185, 0.0018661358546902215, 12.379205100209196, [-5.27016861], [0.51427434] 
7/46,Phys: flood; T; , Stats: std; , C: 10.0,  11691, 11649, 7, 13, 0.5754498714652956, 0.5754498714652956, 0.08763745643733876, 0.0011140629017053732, 17.98479554381633, [-1.32946227], [26.46195174] 
8/46,Phys: flood; T; , Stats: min; , C: 100.0,  15261, 8079, 4, 16, 0.7269280205655527, 0.7269280205655527, 0.5635191102877435, 0.0019755525373502903, 12.471782977064809, [-6.30702749], [0.18234454] 
9/46,Phys: flood; T; , Stats: max; , C: 1,  15535, 7805, 5, 15, 0.7077977720651243, 0.7077977720651244, 0.5602085063266111, 0.0019169329073482429, 12.050553637371785, [-2.36479036], [9.39689979] 
10/46,Phys: flood; u; , Stats: mean; , C: 1,  16039, 7301, 10, 10, 0.5935946872322193, 0.5935946872322194, 0.480754914796652, 0.0013659336156262806, 11.280614294855972, [0.25822318], [129.46277161] 
11/46,Phys: flood; u; , Stats: std; , C: 0.1,  18788, 4552, 12, 8, 0.6024850042844901, 0.6024850042844901, 0.5277534976914385, 0.0017497812773403325, 7.042090499483333, [0.33771302], [140.17381773] 
12/46,Phys: flood; u; , Stats: min; , C: 0.1,  22398, 942, 19, 1, 0.5048200514138818, 0.5048200514138818, 0.28522319249529143, 0.0010395010395010396, 1.4827889943040062, [-0.13847233], [87.06873417] 
13/46,Phys: flood; u; , Stats: max; , C: 0.1,  12171, 11169, 8, 12, 0.56073264781491, 0.5607326478149101, 0.24353309477174515, 0.001072481901867906, 17.245715493585717, [0.26608808], [130.48499843] 
14/46,Phys: flood; v; , Stats: mean; , C: 100.0,  21229, 2111, 8, 12, 0.754777206512425, 0.7547772065124251, 0.7185172694540403, 0.005631159080244017, 3.2695420176172627, [0.10897163], [111.51307151] 
15/46,Phys: flood; v; , Stats: std; , C: 0.01,  19907, 3433, 10, 10, 0.6764567266495287, 0.6764567266495287, 0.6203489878881563, 0.0028960324355632784, 5.312427166897703, [0.02919894], [102.96294119] 
16/46,Phys: flood; v; , Stats: min; , C: 1,  16894, 6446, 12, 8, 0.56191088260497, 0.5619108826049699, 0.46510739957013236, 0.0012372409526755336, 9.96446547889206, [-0.74212835], [47.60995314] 
17/46,Phys: flood; v; , Stats: max; , C: 1,  13676, 9664, 4, 16, 0.6929734361610969, 0.6929734361610969, 0.45676086026082185, 0.0016522098306484924, 14.917381890667148, [0.95420539], [259.66064838] 
