iteration, phys_vars, stats, best_params, tn, fp, fn, tp, BA, AUC, custom,JAC ,Centropy 
0/46,Phys: flood; tide; , Stats: , C: 1000.0,  14448, 8892, 12, 8, 0.5095115681233933, 0.5095115681233933, 0.36471907284255506, 0.0008976660682226212, 13.738556925372391 
1/46,Phys: flood; nao; , Stats: , C: 10.0,  12347, 10993, 4, 16, 0.664502999143102, 0.664502999143102, 0.313594363652962, 0.0014528284754381185, 16.967981863018892 
2/46,Phys: flood; P; , Stats: mean; , C: 10.0,  19892, 3448, 3, 17, 0.8511353898886033, 0.8511353898886033, 0.7988061446565915, 0.004901960784313725, 5.324770883811785 
3/46,Phys: flood; P; , Stats: std; , C: 1000.0,  15770, 7570, 10, 10, 0.5878320479862896, 0.5878320479862895, 0.46915039706205164, 0.0013175230566534915, 11.69567177609195 
4/46,Phys: flood; P; , Stats: min; , C: 10.0,  19717, 3623, 3, 17, 0.8473864610111397, 0.8473864610111398, 0.7919319487028791, 0.004666483667307164, 5.594789691307311 
5/46,Phys: flood; P; , Stats: max; , C: 10.0,  19548, 3792, 4, 16, 0.8187660668380463, 0.8187660668380463, 0.7618421218845102, 0.004197271773347324, 5.857093675731537 
6/46,Phys: flood; T; , Stats: mean; , C: 1,  15610, 7730, 5, 15, 0.7094044558697514, 0.7094044558697516, 0.5642352053580243, 0.001935483870967742, 11.934831291302276 
7/46,Phys: flood; T; , Stats: std; , C: 10.0,  11768, 11572, 7, 13, 0.5770994001713796, 0.5770994001713796, 0.14659069360141977, 0.001121463077984817, 17.865987268518296 
8/46,Phys: flood; T; , Stats: min; , C: 1,  16167, 7173, 8, 12, 0.6463367609254498, 0.6463367609254499, 0.530665328004017, 0.00166828861393021, 11.080028895002151 
9/46,Phys: flood; T; , Stats: max; , C: 1,  15274, 8066, 3, 17, 0.7522065124250215, 0.7522065124250213, 0.5823132162677183, 0.0021023992085085334, 12.450181472465164 
10/46,Phys: flood; u; , Stats: mean; , C: 1000.0,  14573, 8767, 10, 10, 0.5621893744644387, 0.5621893744644387, 0.4119801319813103, 0.0011380448389666552, 13.542600419361351 
11/46,Phys: flood; u; , Stats: std; , C: 10.0,  17834, 5506, 12, 8, 0.5820479862896315, 0.5820479862896315, 0.4972828923602672, 0.0014477017734346724, 8.514078741487518 
12/46,Phys: flood; u; , Stats: min; , C: 100.0,  14787, 8553, 12, 8, 0.5167737789203085, 0.5167737789203084, 0.3807811744271166, 0.0009331622535868425, 13.2154919211382 
13/46,Phys: flood; u; , Stats: max; , C: 1000.0,  14855, 8485, 8, 12, 0.6182305055698372, 0.6182305055698372, 0.466065283222705, 0.0014109347442680777, 13.10439846891147 
14/46,Phys: flood; v; , Stats: mean; , C: 1000.0,  21228, 2112, 8, 12, 0.7547557840616966, 0.7547557840616967, 0.718485415460847, 0.005628517823639775, 3.271084982231523 
15/46,Phys: flood; v; , Stats: std; , C: 1000.0,  17377, 5963, 7, 13, 0.6972579263067695, 0.6972579263067694, 0.6051754164247078, 0.002172822998495738, 9.211498747133106 
16/46,Phys: flood; v; , Stats: min; , C: 10.0,  15427, 7913, 12, 8, 0.530484147386461, 0.530484147386461, 0.4087906120051576, 0.0010084457330139921, 12.227994568011704 
17/46,Phys: flood; v; , Stats: max; , C: 1000.0,  13761, 9579, 4, 16, 0.6947943444730078, 0.6947943444730076, 0.46352854016853623, 0.0016668402958641526, 14.786229898455035 
18/46,Phys: flood; u2; , Stats: mean; , C: 100.0,  18483, 4857, 14, 6, 0.5459511568123393, 0.5459511568123394, 0.45727858094997514, 0.001230264506868977, 7.5157806360612 
19/46,Phys: flood; u2; , Stats: std; , C: 10.0,  18230, 5110, 13, 7, 0.5655312767780634, 0.5655312767780635, 0.48097136243586736, 0.0013645224171539962, 7.904607718854759 
20/46,Phys: flood; u2; , Stats: min; , C: 1000.0,  20327, 3013, 16, 4, 0.5354541559554413, 0.5354541559554412, 0.42988235259291696, 0.0013188262446422684, 4.673639816594001 
21/46,Phys: flood; u2; , Stats: max; , C: 10.0,  18401, 4939, 11, 9, 0.6191945158526135, 0.6191945158526135, 0.5436876272378334, 0.0018148820326678765, 7.637674840587753 
22/46,Phys: flood; v2; , Stats: mean; , C: 1000.0,  18515, 4825, 0, 20, 0.8966366752356469, 0.8966366752356469, 0.8071849052223391, 0.0041279669762641896, 7.444804263805233 
23/46,Phys: flood; v2; , Stats: std; , C: 1000.0,  18283, 5057, 0, 20, 0.8916666666666666, 0.8916666666666666, 0.7964834072113749, 0.003939334252511325, 7.8027720543135874 
24/46,Phys: flood; v2; , Stats: min; , C: 1000.0,  20475, 2865, 10, 10, 0.6886246786632391, 0.6886246786632391, 0.6380729939649857, 0.0034662045060658577, 4.436023265997937 
25/46,Phys: flood; v2; , Stats: max; , C: 1000.0,  18138, 5202, 1, 19, 0.863560411311054, 0.863560411311054, 0.7689625010397957, 0.0036384527001148987, 8.02804488799557 
